raw_city,raw_state,standardized_city,standardized_state,match_method
cantanhede,MA,Cantanhede,MA,municipio
capinzal do norte,MA,Capinzal do Norte,MA,municipio
carolina,MA,Carolina,MA,municipio
carutapera,MA,Carutapera,MA,municipio
caxias,MA,Caxias,MA,municipio
cedral,MA,Cedral,MA,municipio
central do maranhao,MA,Central do Maranhão,MA,municipio
centro do guilherme,MA,Centro do Guilherme,MA,municipio
centro novo do maranhao,MA,Centro Novo do Maranhão,MA,municipio
centro novo do maranhão,MA,Centro Novo do Maranhão,MA,municipio
chapadinha,MA,Chapadinha,MA,municipio
cidelandia,MA,Cidelândia,MA,municipio
codo,MA,Codó,MA,municipio
codó,MA,Codó,MA,municipio
coelho neto,MA,Coelho Neto,MA,municipio
colinas,MA,Colinas,MA,municipio
conceicao do lago-acu,MA,Conceição do Lago-Açu,MA,municipio
conceição do lago-açu,MA,Conceição do Lago-Açu,MA,municipio
coroata,MA,Coroatá,MA,municipio
coroatá,MA,Coroatá,MA,municipio
cururupu,MA,Cururupu,MA,municipio
cândido mendes,MA,Cândido Mendes,MA,municipio
davinopolis,MA,Davinópolis,MA,municipio
dom pedro,MA,Dom Pedro,MA,municipio
duque bacelar,MA,Duque Bacelar,MA,municipio
esperantinopolis,MA,Esperantinópolis,MA,municipio
esperantinópolis,MA,Esperantinópolis,MA,municipio
estreito,MA,Estreito,MA,municipio
fatimarmnte dutra,MA,Presidente Dutra,MA,viacep
feira nova do maranhao,MA,Feira Nova do Maranhão,MA,municipio
feira nova do maranhão,MA,Feira Nova do Maranhão,MA,municipio
formosa da serra negra,MA,Formosa da Serra Negra,MA,municipio
fortaleza dos nogueiras,MA,Fortaleza dos Nogueiras,MA,municipio
fortuna,MA,Fortuna,MA,municipio
godofredo viana,MA,Godofredo Viana,MA,municipio
goncalves dias,MA,Gonçalves Dias,MA,municipio
gonçalves dias,MA,Gonçalves Dias,MA,municipio
governador archer,MA,Governador Archer,MA,municipio
governador edison lobao,MA,Governador Edison Lobão,MA,municipio
governador edison lobão,MA,Governador Edison Lobão,MA,municipio
governador eugenio barros,MA,Governador Eugênio Barros,MA,municipio
governador eugênio barros,MA,Governador Eugênio Barros,MA,municipio
governador luiz rocha,MA,Governador Luiz Rocha,MA,municipio
governador newton bello,MA,Governador Newton Bello,MA,municipio
governador nunes freire,MA,Governador Nunes Freire,MA,municipio
graca aranha,MA,Graça Aranha,MA,municipio
grajau,MA,Grajaú,MA,municipio
grajaú,MA,Grajaú,MA,municipio
guimaraes,MA,Guimarães,MA,municipio
humberto de campos,MA,Humberto de Campos,MA,municipio
icatu,MA,Icatu,MA,municipio
igarape do meio,MA,Igarapé do Meio,MA,municipio
igarape grande,MA,Igarapé Grande,MA,municipio
igarapé grande,MA,Igarapé Grande,MA,municipio
imperatriz,MA,Imperatriz,MA,municipio
itaipava do grajau,MA,Itaipava do Grajaú,MA,municipio
itapecuru mirim,MA,Itapecuru Mirim,MA,municipio
itapecuru-mirim,MA,Itapecuru Mirim,MA,fuzzy
itinga do maranhao,MA,Itinga do Maranhão,MA,municipio
itinga do maranhão,MA,Itinga do Maranhão,MA,municipio
jatoba,MA,Jatobá,MA,municipio
jatobá,MA,Jatobá,MA,municipio
jenipapo dos vieiras,MA,Jenipapo dos Vieiras,MA,municipio
joao lisboa,MA,João Lisboa,MA,municipio
joselandia,MA,Joselândia,MA,municipio
joselândia,MA,Joselândia,MA,municipio
junco do maranhao,MA,Junco do Maranhão,MA,municipio
junco do maranhão,MA,Junco do Maranhão,MA,municipio
lago da pedra,MA,Lago da Pedra,MA,municipio
lago do junco,MA,Lago do Junco,MA,municipio
lago dos rodrigues,MA,Lago dos Rodrigues,MA,municipio
lago verde,MA,Lago Verde,MA,municipio
lagoa do mato,MA,Lagoa do Mato,MA,municipio
lagoa grande do maranhao,MA,Lagoa Grande do Maranhão,MA,municipio
lagoa grande do maranhão,MA,Lagoa Grande do Maranhão,MA,municipio
lajeado novo,MA,Lajeado Novo,MA,municipio
lima campos,MA,Lima Campos,MA,municipio
loreto,MA,Loreto,MA,municipio
luis domingues,MA,Luís Domingues,MA,municipio
luís domingues,MA,Luís Domingues,MA,municipio
magalhaes de almeida,MA,Magalhães de Almeida,MA,municipio
magalhães de almeida,MA,Magalhães de Almeida,MA,municipio
maioba,MA,Paço do Lumiar,MA,viacep
maracacume,MA,Maracaçumé,MA,municipio
maracaçumé,MA,Maracaçumé,MA,municipio
maraja do sena,MA,Marajá do Sena,MA,municipio
maranhaozinho,MA,Maranhãozinho,MA,municipio
maranhãozinho,MA,Maranhãozinho,MA,municipio
mata roma,MA,Mata Roma,MA,municipio
matinha,MA,Matinha,MA,municipio
matoes,MA,Matões,MA,municipio
matoes do norte,MA,Matões do Norte,MA,municipio
matões,MA,Matões,MA,municipio
milagres do maranhao,MA,Milagres do Maranhão,MA,municipio
milagres do maranhão,MA,Milagres do Maranhão,MA,municipio
mirador,MA,Mirador,MA,municipio
miranda do norte,MA,Miranda do Norte,MA,municipio
mirinzal,MA,Mirinzal,MA,municipio
moncao,MA,Monção,MA,municipio
montes altos,MA,Montes Altos,MA,municipio
monção,MA,Monção,MA,municipio
morros,MA,Morros,MA,municipio
nina rodrigues,MA,Nina Rodrigues,MA,municipio
nova colinas,MA,Nova Colinas,MA,municipio
nova iorque,MA,Nova Iorque,MA,municipio
nova olinda do maranhao,MA,Nova Olinda do Maranhão,MA,municipio
nova olinda do maranhão,MA,Nova Olinda do Maranhão,MA,municipio
olho d agua das cunhas,MA,Olho d'Água das Cunhãs,MA,fuzzy
olho d'agua das cunhas,MA,Olho d'Água das Cunhãs,MA,municipio
olho d'água das cunhãs,MA,Olho d'Água das Cunhãs,MA,municipio
olho dágua das cunhãs,MA,Olho d'Água das Cunhãs,MA,fuzzy
olinda nova do maranhao,MA,Olinda Nova do Maranhão,MA,municipio
olinda nova do maranhão,MA,Olinda Nova do Maranhão,MA,municipio
paco do lumiar,MA,Paço do Lumiar,MA,municipio
palmeirandia,MA,Palmeirândia,MA,municipio
paraibano,MA,Paraibano,MA,municipio
parnarama,MA,Parnarama,MA,municipio
passagem franca,MA,Passagem Franca,MA,municipio
pastos bons,MA,Pastos Bons,MA,municipio
paulino neves,MA,Paulino Neves,MA,municipio
paulo ramos,MA,Paulo Ramos,MA,municipio
paço do lumiar,MA,Paço do Lumiar,MA,municipio
pedreiras,MA,Pedreiras,MA,municipio
pedro do rosário,MA,Pedro do Rosário,MA,municipio
penalva,MA,Penalva,MA,municipio
peri mirim,MA,Peri Mirim,MA,municipio
peritoro,MA,Peritoró,MA,municipio
peritoró,MA,Peritoró,MA,municipio
pindare mirim,MA,Pindaré-Mirim,MA,fuzzy
pindaré mirim,MA,Pindaré-Mirim,MA,fuzzy
pindaré-mirim,MA,Pindaré-Mirim,MA,municipio
pinheiro,MA,Pinheiro,MA,municipio
pio xii,MA,Pio XII,MA,municipio
pirapemas,MA,Pirapemas,MA,municipio
pocao de pedras,MA,Poção de Pedras,MA,municipio
porto franco,MA,Porto Franco,MA,municipio
porto rico do maranhao,MA,Porto Rico do Maranhão,MA,municipio
poção de pedras,MA,Poção de Pedras,MA,municipio
presidente dutra,MA,Presidente Dutra,MA,municipio
presidente juscelino,MA,Presidente Juscelino,MA,municipio
presidente medici,MA,Presidente Médici,MA,municipio
presidente médici,MA,Presidente Médici,MA,municipio
presidente sarney,MA,Presidente Sarney,MA,municipio
presidente vargas,MA,Presidente Vargas,MA,municipio
primeira cruz,MA,Primeira Cruz,MA,municipio
raposa,MA,Raposa,MA,municipio
riachao,MA,Riachão,MA,municipio
riachão,MA,Riachão,MA,municipio
ribamar fiquene,MA,Ribamar Fiquene,MA,municipio
rosario,MA,Rosário,MA,municipio
rosário,MA,Rosário,MA,municipio
sambaiba,MA,Sambaíba,MA,municipio
santa filomena do maranhao,MA,Santa Filomena do Maranhão,MA,municipio
santa helena,MA,Santa Helena,MA,municipio
santa ines,MA,Santa Inês,MA,municipio
santa inês,MA,Santa Inês,MA,municipio
santa luzia,MA,Santa Luzia,MA,municipio
santa luzia do parua,MA,Santa Luzia do Paruá,MA,municipio
santa luzia do paruá,MA,Santa Luzia do Paruá,MA,municipio
santa quiteria do maranhao,MA,Santa Quitéria do Maranhão,MA,municipio
santa quitéria do maranhão,MA,Santa Quitéria do Maranhão,MA,municipio
santa rita,MA,Santa Rita,MA,municipio
santana do maranhao,MA,Santana do Maranhão,MA,municipio
santana do maranhão,MA,Santana do Maranhão,MA,municipio
santo amaro,MA,Santo Amaro do Maranhão,MA,viacep
santo antonio dos lopes,MA,Santo Antônio dos Lopes,MA,municipio
santo antônio dos lopes,MA,Santo Antônio dos Lopes,MA,municipio
sao benedito do rio preto,MA,São Benedito do Rio Preto,MA,municipio
sao bento,MA,São Bento,MA,municipio
sao bernardo,MA,São Bernardo,MA,municipio
sao domingos do azeitao,MA,São Domingos do Azeitão,MA,municipio
sao domingos do maranhao,MA,São Domingos do Maranhão,MA,municipio
sao felix de balsas,MA,São Félix de Balsas,MA,municipio
sao francisco do brejao,MA,São Francisco do Brejão,MA,municipio
sao francisco do maranhao,MA,São Francisco do Maranhão,MA,municipio
sao joao batista,MA,São João Batista,MA,municipio
sao joao do caru,MA,São João do Carú,MA,municipio
sao joao do paraiso,MA,São João do Paraíso,MA,municipio
sao joao do soter,MA,São João do Soter,MA,municipio
sao joao dos patos,MA,São João dos Patos,MA,municipio
sao jose de ribamar,MA,São José de Ribamar,MA,municipio
sao jose dos basilios,MA,São José dos Basílios,MA,municipio
sao luis,MA,São Luís,MA,municipio
sao luis gonzaga do maranhao,MA,São Luís Gonzaga do Maranhão,MA,municipio
sao mateus do maranhao,MA,São Mateus do Maranhão,MA,municipio
sao pedro da agua branca,MA,São Pedro da Água Branca,MA,municipio
sao pedro dos crentes,MA,São Pedro dos Crentes,MA,municipio
sao raimundo das mangabeiras,MA,São Raimundo das Mangabeiras,MA,municipio
sao raimundo do doca bezerra,MA,São Raimundo do Doca Bezerra,MA,municipio
sao roberto,MA,São Roberto,MA,municipio
sao vicente ferrer,MA,São Vicente Ferrer,MA,municipio
satubinha,MA,Satubinha,MA,municipio
senador alexandre costa,MA,Senador Alexandre Costa,MA,municipio
senador la rocque,MA,Senador La Rocque,MA,municipio
senador la roque,MA,Senador La Rocque,MA,fuzzy
serrano do maranhao,MA,Serrano do Maranhão,MA,municipio
sitio novo,MA,Sítio Novo,MA,municipio
sucupira do norte,MA,Sucupira do Norte,MA,municipio
sucupira do riachao,MA,Sucupira do Riachão,MA,municipio
são benedito do rio preto,MA,São Benedito do Rio Preto,MA,municipio
são bento,MA,São Bento,MA,municipio
são bernardo,MA,São Bernardo,MA,municipio
são domingos do maranhão,MA,São Domingos do Maranhão,MA,municipio
são francisco do brejão,MA,São Francisco do Brejão,MA,municipio
são francisco do maranhão,MA,São Francisco do Maranhão,MA,municipio
são félix de balsas,MA,São Félix de Balsas,MA,municipio
são josé de ribamar,MA,São José de Ribamar,MA,municipio
são joão batista,MA,São João Batista,MA,municipio
são joão do carú,MA,São João do Carú,MA,municipio
são joão do paraíso,MA,São João do Paraíso,MA,municipio
são joão do soter,MA,São João do Soter,MA,municipio
são joão dos patos,MA,São João dos Patos,MA,municipio
são luís,MA,São Luís,MA,municipio
são luís gonzaga do maranhão,MA,São Luís Gonzaga do Maranhão,MA,municipio
são mateus do maranhão,MA,São Mateus do Maranhão,MA,municipio
são pedro da água branca,MA,São Pedro da Água Branca,MA,municipio
são raimundo das mangabeiras,MA,São Raimundo das Mangabeiras,MA,municipio
são raimundo do doca bezerra,MA,São Raimundo do Doca Bezerra,MA,municipio
são roberto,MA,São Roberto,MA,municipio
são vicente ferrer,MA,São Vicente Ferrer,MA,municipio
tasso fragoso,MA,Tasso Fragoso,MA,municipio
timbiras,MA,Timbiras,MA,municipio
timon,MA,Timon,MA,municipio
trizidela do vale,MA,Trizidela do Vale,MA,municipio
tufilandia,MA,Tufilândia,MA,municipio
tufilândia,MA,Tufilândia,MA,municipio
tuntum,MA,Tuntum,MA,municipio
turiacu,MA,Turiaçu,MA,municipio
turiaçu,MA,Turiaçu,MA,municipio
turilandia,MA,Turilândia,MA,municipio
tutoia,MA,Tutóia,MA,municipio
tutóia,MA,Tutóia,MA,municipio
urbano santos,MA,Urbano Santos,MA,municipio
vargem grande,MA,Vargem Grande,MA,municipio
viana,MA,Viana,MA,municipio
vila nova dos martirios,MA,Vila Nova dos Martírios,MA,municipio
vila nova dos martírios,MA,Vila Nova dos Martírios,MA,municipio
vitoria do mearim,MA,Vitória do Mearim,MA,municipio
vitorino freire,MA,Vitorino Freire,MA,municipio
vitória do mearim,MA,Vitória do Mearim,MA,municipio
ze doca,MA,Zé Doca,MA,municipio
zé doca,MA,Zé Doca,MA,municipio
água doce do maranhão,MA,Água Doce do Maranhão,MA,municipio
abadia dos dourados,MG,Abadia dos Dourados,MG,municipio
abaete,MG,Abaeté,MG,municipio
abaeté,MG,Abaeté,MG,municipio
abre campo,MG,Abre Campo,MG,municipio
abreus,MG,Alto Rio Doce,MG,distrito
acaiaca,MG,Acaiaca,MG,municipio
acucena,MG,Açucena,MG,municipio
adao colares,MG,Botumirim,MG,distrito
agua boa,MG,Água Boa,MG,municipio
agua branca de minas,MG,Comercinho,MG,distrito
agua comprida,MG,Água Comprida,MG,municipio
aguanil,MG,Aguanil,MG,municipio
aguas ferreas,MG,São Pedro dos Ferros,MG,distrito
aguas formosas,MG,Águas Formosas,MG,municipio
aguas vermelhas,MG,Águas Vermelhas,MG,municipio
aimores,MG,Aimorés,MG,municipio
aimorés,MG,Aimorés,MG,municipio
aiuruoca,MG,Aiuruoca,MG,municipio
alagoa,MG,Alagoa,MG,municipio
albertina,MG,Albertina,MG,municipio
alberto isaacson,MG,Martinho Campos,MG,distrito
aldeia,MG,Cuparaque,MG,distrito
alegria,MG,Simonésia,MG,distrito
alem paraiba,MG,Além Paraíba,MG,municipio
alexandrita,MG,Iturama,MG,distrito
alfenas,MG,Alfenas,MG,municipio
alfredo vasconcelos,MG,Alfredo Vasconcelos,MG,municipio
almenara,MG,Almenara,MG,municipio
alpercata,MG,Alpercata,MG,municipio
alpinopolis,MG,Alpinópolis,MG,municipio
alpinópolis,MG,Alpinópolis,MG,municipio
alterosa,MG,Alterosa,MG,municipio
alto caparao,MG,Alto Caparaó,MG,municipio
alto caparaó,MG,Alto Caparaó,MG,municipio
alto jequitiba,MG,Alto Jequitibá,MG,municipio
alto jequitibá,MG,Alto Jequitibá,MG,municipio
alto maranhao,MG,Congonhas,MG,distrito
alto rio doce,MG,Alto Rio Doce,MG,municipio
alvacao,MG,Coração de Jesus,MG,distrito
alvarenga,MG,Alvarenga,MG,municipio
alvinopolis,MG,Alvinópolis,MG,municipio
alvinópolis,MG,Alvinópolis,MG,municipio
alvorada,MG,Carangola,MG,distrito
alvorada de minas,MG,Alvorada de Minas,MG,municipio
além paraíba,MG,Além Paraíba,MG,municipio
amanhece,MG,Araguari,MG,distrito
amarantina,MG,Ouro Preto,MG,distrito
amparo da serra,MG,Amparo do Serra,MG,fuzzy
andradas,MG,Andradas,MG,municipio
andrelandia,MG,Andrelândia,MG,municipio
andrelândia,MG,Andrelândia,MG,municipio
andrequice,MG,Três Marias,MG,distrito
angelandia,MG,Angelândia,MG,municipio
angelândia,MG,Angelândia,MG,municipio
anguereta,MG,Curvelo,MG,distrito
angustura,MG,Além Paraíba,MG,distrito
antonio carlos,MG,Antônio Carlos,MG,municipio
antonio dias,MG,Antônio Dias,MG,municipio
antonio pereira,MG,Ouro Preto,MG,distrito
antonio prado de minas,MG,Antônio Prado de Minas,MG,municipio
antunes,MG,Igaratinga,MG,distrito
antunes (igaratinga),MG,Igaratinga,MG,viacep
antônio carlos,MG,Antônio Carlos,MG,municipio
antônio dias,MG,Antônio Dias,MG,municipio
antônio pereira,MG,Ouro Preto,MG,distrito
antônio prado de minas,MG,Antônio Prado de Minas,MG,municipio
aparecida de minas,MG,Frutal,MG,distrito
aracai,MG,Araçaí,MG,municipio
aracitaba,MG,Aracitaba,MG,municipio
aracuai,MG,Araçuaí,MG,municipio
araguari,MG,Araguari,MG,municipio
arantina,MG,Arantina,MG,municipio
araponga,MG,Araponga,MG,municipio
arapora,MG,Araporã,MG,municipio
araporã,MG,Araporã,MG,municipio
arapua,MG,Arapuá,MG,municipio
arapuá,MG,Arapuá,MG,municipio
araujos,MG,Araújos,MG,municipio
araxa,MG,Araxá,MG,municipio
araxá,MG,Araxá,MG,municipio
araçaí,MG,Araçaí,MG,municipio
araçuaí,MG,Araçuaí,MG,municipio
araújos,MG,Araújos,MG,municipio
arceburgo,MG,Arceburgo,MG,municipio
arcos,MG,Arcos,MG,municipio
areado,MG,Areado,MG,municipio
argirita,MG,Argirita,MG,municipio
aricanduva,MG,Aricanduva,MG,municipio
arinos,MG,Arinos,MG,municipio
astolfo dutra,MG,Astolfo Dutra,MG,municipio
ataleia,MG,Ataléia,MG,municipio
ataléia,MG,Ataléia,MG,municipio
augusto de lima,MG,Augusto de Lima,MG,municipio
avaí do jacinto,MG,Jacinto,MG,distrito
azurita,MG,Mateus Leme,MG,distrito
açucena,MG,Açucena,MG,municipio
baependi,MG,Baependi,MG,municipio
baguari,MG,Governador Valadares,MG,distrito
baldim,MG,Baldim,MG,municipio
bambui,MG,Bambuí,MG,municipio
bambuí,MG,Bambuí,MG,municipio
bandeira,MG,Bandeira,MG,municipio
bandeira do sul,MG,Bandeira do Sul,MG,municipio
bandeirantes,MG,Mariana,MG,distrito
barao de cocais,MG,Barão de Cocais,MG,municipio
barao de monte alto,MG,Barão do Monte Alto,MG,fuzzy
barbacena,MG,Barbacena,MG,municipio
barbacena/ minas gerais,MG,Barbacena,MG,manual_review
barra do ariranha,MG,Mantena,MG,distrito
barra do cuiete,MG,Conselheiro Pena,MG,distrito
barra feliz,MG,Santa Bárbara,MG,distrito
barra longa,MG,Barra Longa,MG,municipio
barreiro branco,MG,Catuti,MG,distrito
barroso,MG,Barroso,MG,municipio
barão de cocais,MG,Barão de Cocais,MG,municipio
barão de monte alto,MG,Barão do Monte Alto,MG,fuzzy
bela vista de minas,MG,Bela Vista de Minas,MG,municipio
belmiro braga,MG,Belmiro Braga,MG,municipio
belo horizont,MG,Belo Horizonte,MG,fuzzy
belo horizonta,MG,Belo Horizonte,MG,fuzzy
belo horizonte,MG,Belo Horizonte,MG,municipio
belo oriente,MG,Belo Oriente,MG,municipio
belo vale,MG,Belo Vale,MG,municipio
bentópolis de minas,MG,Ubaí,MG,distrito
berilo,MG,Berilo,MG,municipio
berizal,MG,Berizal,MG,municipio
bertopolis,MG,Bertópolis,MG,municipio
bertópolis,MG,Bertópolis,MG,municipio
betim,MG,Betim,MG,municipio
bh,MG,Belo Horizonte,MG,viacep
bias fortes,MG,Bias Fortes,MG,municipio
bicas,MG,Bicas,MG,municipio
bicuiba,MG,Raul Soares,MG,distrito
biquinhas,MG,Biquinhas,MG,municipio
boa esperanca,MG,Boa Esperança,MG,municipio
boa esperança,MG,Boa Esperança,MG,municipio
boa uniao de itabirinha,MG,Itabirinha,MG,distrito
boa união de itabirinha,MG,Itabirinha,MG,distrito
boa vista de minas,MG,Nova Serrana,MG,distrito
bocaina de minas,MG,Bocaina de Minas,MG,municipio
bocaiuva,MG,Bocaiúva,MG,municipio
bocaiúva,MG,Bocaiúva,MG,municipio
bom despacho,MG,Bom Despacho,MG,municipio
bom jardim de minas,MG,Bom Jardim de Minas,MG,municipio
bom jesus da penha,MG,Bom Jesus da Penha,MG,municipio
bom jesus do amparo,MG,Bom Jesus do Amparo,MG,municipio
bom jesus do galho,MG,Bom Jesus do Galho,MG,municipio
bom repouso,MG,Bom Repouso,MG,municipio
bom sucesso,MG,Bom Sucesso,MG,municipio
bonfim,MG,Bonfim,MG,municipio
bonfinopolis de minas,MG,Bonfinópolis de Minas,MG,municipio
bonfinópolis de minas,MG,Bonfinópolis de Minas,MG,municipio
bonito de minas,MG,Bonito de Minas,MG,municipio
borda da mata,MG,Borda da Mata,MG,municipio
botelhos,MG,Botelhos,MG,municipio
botumirim,MG,Botumirim,MG,municipio
bras pires,MG,Brás Pires,MG,municipio
brasilandia de minas,MG,Brasilândia de Minas,MG,municipio
brasilia de minas,MG,Brasília de Minas,MG,municipio
brasilândia de minas,MG,Brasilândia de Minas,MG,municipio
brasopolis,MG,Brazópolis,MG,fuzzy
brasília de minas,MG,Brasília de Minas,MG,municipio
brasópolis,MG,Brazópolis,MG,fuzzy
braunas,MG,Braúnas,MG,municipio
brazopolis,MG,Brazópolis,MG,municipio
brazópolis,MG,Brazópolis,MG,municipio
braúnas,MG,Braúnas,MG,municipio
brejo bonito,MG,Cruzeiro da Fortaleza,MG,distrito
brumadinho,MG,Brumadinho,MG,municipio
brás pires,MG,Brás Pires,MG,municipio
bueno brandao,MG,Bueno Brandão,MG,municipio
bueno brandão,MG,Bueno Brandão,MG,municipio
buenopolis,MG,Buenópolis,MG,municipio
buenópolis,MG,Buenópolis,MG,municipio
bugre,MG,Bugre,MG,municipio
buritis,MG,Buritis,MG,municipio
buritizeiro,MG,Buritizeiro,MG,municipio
cabeceira grande,MG,Cabeceira Grande,MG,municipio
cabo verde,MG,Cabo Verde,MG,municipio
cacaratiba,MG,Turmalina,MG,distrito
cacarema,MG,Capitão Enéas,MG,distrito
cachoeira alegre,MG,Barão do Monte Alto,MG,distrito
cachoeira da prata,MG,Cachoeira da Prata,MG,municipio
cachoeira de minas,MG,Cachoeira de Minas,MG,municipio
cachoeira de pajeu,MG,Cachoeira de Pajeú,MG,municipio
cachoeira de pajeú,MG,Cachoeira de Pajeú,MG,municipio
cachoeira de santa cruz,MG,Viçosa,MG,distrito
cachoeira do brumado,MG,Mariana,MG,distrito
cachoeira do campo,MG,Ouro Preto,MG,distrito
cachoeira dourada,MG,Cachoeira Dourada,MG,municipio
caetanopolis,MG,Caetanópolis,MG,municipio
caetanópolis,MG,Caetanópolis,MG,municipio
caete,MG,Caeté,MG,municipio
caeté,MG,Caeté,MG,municipio
caiana,MG,Caiana,MG,municipio
cajuri,MG,Cajuri,MG,municipio
caldas,MG,Caldas,MG,municipio
calixto,MG,Resplendor,MG,distrito
camacho,MG,Camacho,MG,municipio
camanducaia,MG,Camanducaia,MG,municipio
cambui,MG,Cambuí,MG,municipio
cambuquira,MG,Cambuquira,MG,municipio
cambuí,MG,Cambuí,MG,municipio
campanario,MG,Campanário,MG,municipio
campanha,MG,Campanha,MG,municipio
campanário,MG,Campanário,MG,municipio
campestre,MG,Campestre,MG,municipio
campina verde,MG,Campina Verde,MG,municipio
campo alegre de minas,MG,Ibiracatu,MG,distrito
campo azul,MG,Campo Azul,MG,municipio
campo belo,MG,Campo Belo,MG,municipio
campo do meio,MG,Campo do Meio,MG,municipio
campo florido,MG,Campo Florido,MG,municipio
campos altos,MG,Campos Altos,MG,municipio
campos gerais,MG,Campos Gerais,MG,municipio
cana verde,MG,Cana Verde,MG,municipio
canaa,MG,Canaã,MG,municipio
canabrava,MG,Francisco Sá,MG,distrito
canapolis,MG,Canápolis,MG,municipio
canaã,MG,Canaã,MG,municipio
candeias,MG,Candeias,MG,municipio
cantagalo,MG,Cantagalo,MG,municipio
canápolis,MG,Canápolis,MG,municipio
caparao,MG,Caparaó,MG,municipio
caparaó,MG,Caparaó,MG,municipio
capela nova,MG,Capela Nova,MG,municipio
capelinha,MG,Capelinha,MG,municipio
capetinga,MG,Capetinga,MG,municipio
capim branco,MG,Capim Branco,MG,municipio
capinopolis,MG,Capinópolis,MG,municipio
capinópolis,MG,Capinópolis,MG,municipio
capitao andrade,MG,Capitão Andrade,MG,municipio
capitao eneas,MG,Capitão Enéas,MG,municipio
capitolio,MG,Capitólio,MG,municipio
capitão andrade,MG,Capitão Andrade,MG,municipio
capitão enéas,MG,Capitão Enéas,MG,municipio
capitólio,MG,Capitólio,MG,municipio
caputira,MG,Caputira,MG,municipio
carai,MG,Caraí,MG,municipio
caranaiba,MG,Caranaíba,MG,municipio
caranaíba,MG,Caranaíba,MG,municipio
carandai,MG,Carandaí,MG,municipio
carandaí,MG,Carandaí,MG,municipio
carangola,MG,Carangola,MG,municipio
caratinga,MG,Caratinga,MG,municipio
caraí,MG,Caraí,MG,municipio
carbonita,MG,Carbonita,MG,municipio
careacu,MG,Careaçu,MG,municipio
careaçu,MG,Careaçu,MG,municipio
carlos chagas,MG,Carlos Chagas,MG,municipio
carmesia,MG,Carmésia,MG,municipio
carmo da cachoeira,MG,Carmo da Cachoeira,MG,municipio
carmo da mata,MG,Carmo da Mata,MG,municipio
carmo de minas,MG,Carmo de Minas,MG,municipio
carmo do cajuru,MG,Carmo do Cajuru,MG,municipio
carmo do paranaiba,MG,Carmo do Paranaíba,MG,municipio
carmo do paranaíba,MG,Carmo do Paranaíba,MG,municipio
carmo do rio claro,MG,Carmo do Rio Claro,MG,municipio
carmopolis de minas,MG,Carmópolis de Minas,MG,municipio
carmésia,MG,Carmésia,MG,municipio
carmópolis de minas,MG,Carmópolis de Minas,MG,municipio
carneirinho,MG,Carneirinho,MG,municipio
carrancas,MG,Carrancas,MG,municipio
carvalhopolis,MG,Carvalhópolis,MG,municipio
carvalhos,MG,Carvalhos,MG,municipio
carvalhópolis,MG,Carvalhópolis,MG,municipio
casa grande,MG,Casa Grande,MG,municipio
cascalho rico,MG,Cascalho Rico,MG,municipio
cassia,MG,Cássia,MG,municipio
castro pires,MG,Teófilo Otoni,MG,manual_review
cataguarino,MG,Cataguases,MG,distrito
cataguases,MG,Cataguases,MG,municipio
catas altas,MG,Catas Altas,MG,municipio
catas altas da noruega,MG,Catas Altas da Noruega,MG,municipio
catuji,MG,Catuji,MG,municipio
catune,MG,Tombos,MG,distrito
catuni,MG,Francisco Sá,MG,distrito
catuti,MG,Catuti,MG,municipio
caxambu,MG,Caxambu,MG,municipio
caçarema,MG,Capitão Enéas,MG,distrito
cedro do abaete,MG,Cedro do Abaeté,MG,municipio
central de minas,MG,Central de Minas,MG,municipio
central de santa helena,MG,Divino das Laranjeiras,MG,distrito
centralina,MG,Centralina,MG,municipio
centro,MG,Pará de Minas,MG,manual_review
chacara,MG,Chácara,MG,municipio
chale,MG,Chalé,MG,municipio
chalé,MG,Chalé,MG,municipio
chapada do norte,MG,Chapada do Norte,MG,municipio
chapada gaucha,MG,Chapada Gaúcha,MG,municipio
chapada gaúcha,MG,Chapada Gaúcha,MG,municipio
chaveslandia,MG,Santa Vitória,MG,distrito
chiador,MG,Chiador,MG,municipio
chonim,MG,Governador Valadares,MG,viacep
chácara,MG,Chácara,MG,municipio
cipotanea,MG,Cipotânea,MG,municipio
cipotânea,MG,Cipotânea,MG,municipio
cisneiros,MG,Palma,MG,distrito
claraval,MG,Claraval,MG,municipio
claro dos pocoes,MG,Claro dos Poções,MG,municipio
claro dos poções,MG,Claro dos Poções,MG,municipio
claudio,MG,Cláudio,MG,municipio
claudio manuel,MG,Mariana,MG,distrito
cláudio,MG,Cláudio,MG,municipio
cocais,MG,Barão de Cocais,MG,distrito
coimbra,MG,Coimbra,MG,municipio
coluna,MG,Coluna,MG,municipio
comendador gomes,MG,Comendador Gomes,MG,municipio
comercinho,MG,Comercinho,MG,municipio
conceicao da aparecida,MG,Conceição da Aparecida,MG,municipio
conceicao da barra de minas,MG,Conceição da Barra de Minas,MG,municipio
conceicao da ibitipoca,MG,Lima Duarte,MG,distrito
conceicao das alagoas,MG,Conceição das Alagoas,MG,municipio
conceicao das pedras,MG,Conceição das Pedras,MG,municipio
conceicao de ipanema,MG,Conceição de Ipanema,MG,municipio
conceicao do capim,MG,Aimorés,MG,distrito
conceicao do formoso,MG,Santos Dumont,MG,distrito
conceicao do mato dentro,MG,Conceição do Mato Dentro,MG,municipio
